CreatedDate,X3a,X1a,X1b,X4a,X2b,X4b,X2a,X5b,X5a,Date_Received,Contact,X3b,Service_Application
2023-04-18 15:39:07,Just able to pay but not much more,Always or almost always,Rarely,Always or almost always,High chance,Rarely,High chance,I am confident I will stay in my home for as long as I want,I was worried that I might have to leave my home in the near future,,0034M000020cM5mQAE,Just able to pay but not much more,service_app_145
2023-06-16 20:11:02,Just able to pay but not much more,Always or almost always,Never or almost never,Sometimes,No chance,Never or almost always,Not sure,I am confident I will stay in my home for as long as I want,Not sure,2023-02-13 00:00:00,,Just able to pay but not much more,service_app_101
2021-09-03 21:36:27,Comfortably able to pay and more,Always or almost always,Rarely,Sometimes,No chance,Rarely,Low chance,I am confident I will stay in my home for as long as I want,I was confident I would stay in my home for as long as I wanted,2021-08-27 00:00:00,0034M000021Lu2uQAC,Comfortably able to pay and more,service_app_158
2021-12-07 16:19:46,Barely able to pay,Never or almost never,Never or almost never,Always or almost always,Low chance,Sometimes,Moderate chance,I am confident I will stay in my home for as long as I want,Not sure,2021-12-07 00:00:00,0034M000021LtJGQA0,Barely able to pay,service_app_157
2021-12-07 16:21:27,Barely able to pay,Often,Rarely,Always or almost always,No chance,Sometimes,High chance,I am confident I will stay in my home for as long as I want,"I felt secure at the time, but I was uncertain if I would be able to stay in my home long-term",2021-12-07 00:00:00,0034M000025DCGyQAO,Just able to pay but not much more,service_app_161
2022-04-29 16:29:02,Not sure,Rarely,Sometimes,Sometimes,Low chance,Rarely,Moderate chance,I am confident I will stay in my home for as long as I want,"I felt secure at the time, but I was uncertain if I would be able to stay in my home long-term",2022-04-29 00:00:00,,Just able to pay but not much more,service_app_166
2022-04-29 16:30:30,Just able to pay but not much more,Sometimes,Rarely,Sometimes,Not sure,Sometimes,Not sure,I am confident I will stay in my home for as long as I want,I was confident I would stay in my home for as long as I wanted,2022-04-29 00:00:00,,Not sure,service_app_90
2022-04-29 16:31:52,Just able to pay but not much more,Never or almost never,Never or almost never,Often,Low chance,Rarely,Moderate chance,I am confident I will stay in my home for as long as I want,I was confident I would stay in my home for as long as I wanted,2022-04-29 00:00:00,,Comfortably able to pay and more,service_app_170
2022-04-29 16:33:01,Comfortably able to pay and more,Often,Rarely,Rarely,No chance,Rarely,Low chance,I am confident I will stay in my home for as long as I want,I was confident I would stay in my home for as long as I wanted,2022-04-29 00:00:00,,Comfortably able to pay and more,service_app_134
2022-04-29 16:34:57,Barely able to pay,Often,Often,Often,Moderate chance,Rarely,High chance,I am confident I will stay in my home for as long as I want,"I felt secure at the time, but I was uncertain if I would be able to stay in my home long-term",2022-04-29 00:00:00,,Just able to pay but not much more,service_app_159
2022-04-29 16:36:31,Comfortably able to pay and more,Never or almost never,Never or almost never,Rarely,No chance,Rarely,Moderate chance,I am confident I will stay in my home for as long as I want,I was confident I would stay in my home for as long as I wanted,2022-04-29 00:00:00,,Comfortably able to pay and more,service_app_151
