Name,CreatedDate,Service_Application,Post_Assessment_Date,Post,Pre_Assessment_Date,Pre,Priority_Rank,Priority_Name,Impact_Category
IS-00563,2019-03-12 17:18:00,service_app_15,,Yes,2019-03-08 00:00:00,Yes,1,Safe ingress/egress,Falls Prevention
IS-00564,2019-03-12 17:18:27,service_app_15,,Yes,2019-03-08 00:00:00,Yes,2,Roof watertight,Home Preservation
IS-00565,2019-03-12 17:18:54,service_app_15,,Yes,2019-03-08 00:00:00,No,3,Runoff diverted,Home Preservation
IS-00566,2019-03-12 17:19:48,service_app_15,,No,2019-03-08 00:00:00,No,4,No gaps/cracks/holes,Energy Efficiency
IS-00567,2019-03-12 17:20:21,service_app_15,,Yes,2019-03-08 00:00:00,Yes,5,Doors/windows secure,Energy Efficiency
IS-00568,2019-03-12 17:21:22,service_app_15,,Yes,2019-03-08 00:00:00,Yes,6,Pest free,Health Risk
IS-00569,2019-03-12 17:21:43,service_app_15,,Yes,2019-03-08 00:00:00,No,7,Numerals visible,Health Risk
IS-00570,2019-03-12 17:21:58,service_app_15,,Yes,2019-03-08 00:00:00,No,8,Smoke detectors OK,Fire Prevention
IS-00571,2019-03-12 17:31:36,service_app_15,,Yes,2019-03-08 00:00:00,Yes,9,CO detectors OK,Health Risk
IS-00572,2019-03-12 17:32:25,service_app_15,,Yes,2019-03-08 00:00:00,Yes,10,Fire extinguisher OK,Fire Prevention
IS-00573,2019-03-12 17:35:17,service_app_15,,Yes,2019-03-08 00:00:00,Yes,11,CO exhausted outside,Air Quality
IS-00575,2019-03-12 17:36:46,service_app_15,,Yes,2019-03-08 00:00:00,Yes,12,No electrical hazards,Fire Prevention
IS-00576,2019-03-12 17:37:26,service_app_15,,Yes,2019-03-08 00:00:00,Yes,13,Appliances OK,Health Risk
IS-00577,2019-03-12 17:37:56,service_app_15,,No,2019-03-08 00:00:00,No,14,Exhaust fans in K & B,Air Quality
IS-00578,2019-03-12 17:38:19,service_app_15,,Yes,2019-03-08 00:00:00,Yes,15,Sink/toilet/bath OK,Health Risk
IS-00579,2019-03-12 17:38:42,service_app_15,,Yes,2019-03-08 00:00:00,Yes,16,Mods in bath if needed,Falls Prevention
IS-00580,2019-03-12 17:39:20,service_app_15,,No,2019-03-08 00:00:00,No,17,Grab bars if needed,Falls Prevention
IS-00581,2019-03-12 17:39:41,service_app_15,,No,2019-03-08 00:00:00,Yes,18,Stair rails if needed,Falls Prevention
IS-00582,2019-03-12 17:40:23,service_app_15,,Yes,2019-03-08 00:00:00,No,19,No tripping hazards,Falls Prevention
IS-00583,2019-03-12 17:40:37,service_app_15,,Yes,2019-03-08 00:00:00,No,20,No ratty carpeting,Air Quality
IS-00584,2019-03-12 17:42:12,service_app_15,,Yes,2019-03-08 00:00:00,Yes,21,Dryer vented outside,Home Preservation
IS-00585,2019-03-12 17:42:30,service_app_15,,Yes,2019-03-08 00:00:00,Yes,22,Interior temperature OK,Health Risk
IS-00586,2019-03-12 17:42:56,service_app_15,,Yes,2019-03-08 00:00:00,Yes,23,Adequate lighting,Falls Prevention
IS-00587,2019-03-12 17:43:34,service_app_15,,Yes,2019-03-08 00:00:00,Yes,24,Interior paint intact,Home Preservation
IS-00588,2019-03-12 17:43:53,service_app_15,,Yes,2019-03-08 00:00:00,Yes,25,No water leaks,Air Quality
IS-00589,2019-03-14 19:51:20,service_app_16,,Yes,2019-03-14 00:00:00,No,1,Safe ingress/egress,Falls Prevention
IS-00590,2019-03-14 19:51:41,service_app_16,,Yes,2019-03-14 00:00:00,Yes,2,Roof watertight,Home Preservation
IS-00591,2019-03-14 19:55:19,service_app_16,,Yes,2019-03-14 00:00:00,No,3,Runoff diverted,Home Preservation
IS-00592,2019-03-14 19:55:50,service_app_16,,Yes,2019-03-14 00:00:00,Yes,4,No gaps/cracks/holes,Energy Efficiency
IS-00593,2019-03-14 19:56:13,service_app_16,,No,2019-03-14 00:00:00,No,5,Doors/windows secure,Energy Efficiency
IS-00594,2019-03-14 19:56:50,service_app_16,,Yes,2019-03-14 00:00:00,Yes,6,Pest free,Health Risk
IS-00595,2019-03-14 19:57:15,service_app_16,,Yes,2019-03-14 00:00:00,Yes,7,Numerals visible,Health Risk
IS-00596,2019-03-14 19:57:44,service_app_16,,Yes,2019-03-14 00:00:00,Yes,8,Smoke detectors OK,Fire Prevention
IS-00597,2019-03-14 19:58:01,service_app_16,,Yes,2019-03-14 00:00:00,Yes,9,CO detectors OK,Health Risk
IS-00598,2019-03-14 19:58:14,service_app_16,,Yes,2019-03-14 00:00:00,No,10,Fire extinguisher OK,Fire Prevention
IS-00599,2019-03-14 19:58:36,service_app_16,,Yes,2019-03-14 00:00:00,Yes,11,CO exhausted outside,Air Quality
IS-00600,2019-03-14 19:59:06,service_app_16,,Yes,2019-03-14 00:00:00,No,12,No electrical hazards,Fire Prevention
IS-00604,2019-03-14 20:00:06,service_app_16,,Yes,2019-03-14 00:00:00,No,16,Mods in bath if needed,Falls Prevention
IS-00606,2019-03-14 20:00:36,service_app_16,,Yes,2019-03-14 00:00:00,No,18,Stair rails if needed,Falls Prevention
IS-00601,2019-03-14 19:59:23,service_app_16,,Yes,2019-03-14 00:00:00,No,13,Appliances OK,Health Risk
IS-00603,2019-03-14 19:59:49,service_app_16,,Yes,2019-03-14 00:00:00,Yes,15,Sink/toilet/bath OK,Health Risk
IS-00602,2019-03-14 19:59:36,service_app_16,,No,2019-03-14 00:00:00,No,14,Exhaust fans in K & B,Air Quality
IS-00605,2019-03-14 20:00:19,service_app_16,,Yes,2019-03-14 00:00:00,Yes,17,Grab bars if needed,Falls Prevention
IS-00607,2019-03-14 20:01:10,service_app_16,,Yes,2019-03-14 00:00:00,No,19,No tripping hazards,Falls Prevention
IS-00608,2019-03-14 20:01:26,service_app_16,,No,2019-03-14 00:00:00,No,20,No ratty carpeting,Air Quality
IS-00609,2019-03-14 20:01:52,service_app_16,,Yes,2019-03-14 00:00:00,Yes,22,Interior temperature OK,Health Risk
IS-00610,2019-03-14 20:02:12,service_app_16,,Yes,2019-03-14 00:00:00,No,23,Adequate lighting,Falls Prevention
IS-00611,2019-03-14 20:02:32,service_app_16,,Yes,2019-03-14 00:00:00,Yes,24,Interior paint intact,Home Preservation
IS-00612,2019-03-14 20:02:44,service_app_16,,Yes,2019-03-14 00:00:00,No,25,No water leaks,Air Quality
IS-00613,2019-04-22 16:50:45,service_app_2,,Yes,,Yes,1,Safe ingress/egress,Falls Prevention
IS-00614,2019-04-22 16:51:03,service_app_2,,Yes,,Yes,2,Roof watertight,Home Preservation
IS-00615,2019-04-22 16:51:21,service_app_2,,Yes,,No,3,Runoff diverted,Home Preservation
IS-00616,2019-04-22 16:51:37,service_app_2,,Yes,,Yes,4,No gaps/cracks/holes,Energy Efficiency
IS-00617,2019-04-22 16:51:48,service_app_2,,Yes,,Yes,5,Doors/windows secure,Energy Efficiency
IS-00618,2019-04-22 16:52:06,service_app_2,,Yes,,Yes,6,Pest free,Health Risk
IS-00619,2019-04-22 16:52:22,service_app_2,,Yes,,Yes,7,Numerals visible,Health Risk
IS-00621,2019-04-22 16:52:46,service_app_2,,Yes,,Yes,9,CO detectors OK,Health Risk
IS-00620,2019-04-22 16:52:36,service_app_2,,Yes,,Yes,8,Smoke detectors OK,Fire Prevention
IS-00622,2019-04-22 16:53:09,service_app_2,,Yes,,Yes,10,Fire extinguisher OK,Fire Prevention
IS-00625,2019-04-22 16:53:49,service_app_2,,Yes,,Yes,13,Appliances OK,Health Risk
IS-00623,2019-04-22 16:53:22,service_app_2,,Yes,,Yes,11,CO exhausted outside,Air Quality
IS-00624,2019-04-22 16:53:33,service_app_2,,Yes,,Yes,12,No electrical hazards,Fire Prevention
IS-00628,2019-04-22 16:54:31,service_app_2,,Yes,,Yes,16,Mods in bath if needed,Falls Prevention
IS-00626,2019-04-22 16:54:02,service_app_2,,No,,No,14,Exhaust fans in K & B,Air Quality
IS-00627,2019-04-22 16:54:19,service_app_2,,Yes,,Yes,15,Sink/toilet/bath OK,Health Risk
IS-00629,2019-04-22 16:55:01,service_app_2,,Yes,,Yes,17,Grab bars if needed,Falls Prevention
IS-00630,2019-04-22 16:55:25,service_app_2,,Yes,,Yes,18,Stair rails if needed,Falls Prevention
IS-00631,2019-04-22 16:55:39,service_app_2,,Yes,,Yes,19,No tripping hazards,Falls Prevention
IS-00632,2019-04-22 17:17:20,service_app_2,,Yes,,Yes,20,No ratty carpeting,Air Quality
IS-00633,2019-04-22 17:17:42,service_app_2,,Yes,,Yes,21,Dryer vented outside,Home Preservation
IS-00634,2019-04-22 17:17:51,service_app_2,,Yes,,No,22,Interior temperature OK,Health Risk
IS-00635,2019-04-22 17:18:02,service_app_2,,Yes,,Yes,23,Adequate lighting,Falls Prevention
IS-00636,2019-04-22 17:18:26,service_app_2,,Yes,,Yes,24,Interior paint intact,Home Preservation
IS-00637,2019-04-22 17:18:37,service_app_2,,Yes,,Yes,25,No water leaks,Air Quality
IS-00638,2019-04-23 15:57:43,service_app_7,2020-10-14 00:00:00,Yes,2019-04-02 00:00:00,No,1,Safe ingress/egress,Falls Prevention
IS-00639,2019-04-23 15:58:31,service_app_7,2020-10-14 00:00:00,Yes,2019-04-02 00:00:00,Yes,2,Roof watertight,Home Preservation
IS-00640,2019-04-23 15:59:00,service_app_7,2020-10-14 00:00:00,Yes,2019-04-02 00:00:00,No,3,Runoff diverted,Home Preservation
IS-00641,2019-04-23 16:01:02,service_app_7,2020-10-14 00:00:00,Yes,2019-04-02 00:00:00,Yes,4,No gaps/cracks/holes,Energy Efficiency
IS-00642,2019-04-23 16:23:46,service_app_7,2020-10-14 00:00:00,Yes,2019-04-02 00:00:00,No,5,Doors/windows secure,Energy Efficiency
IS-00643,2019-04-23 16:25:54,service_app_7,2020-10-14 00:00:00,Yes,2019-04-02 00:00:00,Yes,6,Pest free,Health Risk
IS-00644,2019-04-23 16:26:16,service_app_7,2020-10-14 00:00:00,Yes,2019-04-02 00:00:00,No,7,Numerals visible,Health Risk
IS-00645,2019-04-23 16:26:40,service_app_7,2020-10-14 00:00:00,Yes,2019-04-02 00:00:00,Yes,8,Smoke detectors OK,Fire Prevention
IS-00646,2019-04-23 16:27:03,service_app_7,2020-10-14 00:00:00,Yes,2019-04-02 00:00:00,Yes,9,CO detectors OK,Health Risk
IS-00647,2019-04-23 16:32:23,service_app_7,2020-10-14 00:00:00,Yes,2019-04-02 00:00:00,No,10,Fire extinguisher OK,Fire Prevention
IS-00648,2019-04-23 16:32:52,service_app_7,2020-10-14 00:00:00,Yes,2019-04-02 00:00:00,Yes,11,CO exhausted outside,Air Quality
IS-00649,2019-04-23 16:35:10,service_app_7,2020-10-14 00:00:00,Yes,2019-04-02 00:00:00,No,12,No electrical hazards,Fire Prevention
IS-00650,2019-04-23 16:35:41,service_app_7,2020-10-14 00:00:00,Yes,2019-04-02 00:00:00,Yes,13,Appliances OK,Health Risk
IS-00651,2019-04-23 16:36:18,service_app_7,2020-10-14 00:00:00,No,2019-04-02 00:00:00,No,14,Exhaust fans in K & B,Air Quality
IS-00652,2019-04-23 16:47:07,service_app_7,2020-10-14 00:00:00,Yes,2019-04-02 00:00:00,Yes,15,Sink/toilet/bath OK,Health Risk
IS-00653,2019-04-23 16:47:31,service_app_7,2020-10-14 00:00:00,Yes,2019-04-02 00:00:00,No,16,Mods in bath if needed,Falls Prevention
IS-00654,2019-04-23 16:47:54,service_app_7,2020-10-14 00:00:00,Yes,2019-04-02 00:00:00,No,17,Grab bars if needed,Falls Prevention
IS-00655,2019-04-23 16:52:35,service_app_7,2020-10-14 00:00:00,Yes,2019-04-02 00:00:00,No,18,Stair rails if needed,Falls Prevention
IS-00656,2019-04-23 16:52:53,service_app_7,2020-10-14 00:00:00,Yes,2019-04-02 00:00:00,Yes,19,No tripping hazards,Falls Prevention
IS-00657,2019-04-23 16:53:08,service_app_7,2020-10-14 00:00:00,No,2019-04-02 00:00:00,No,20,No ratty carpeting,Air Quality
IS-00658,2019-04-23 16:53:23,service_app_7,2020-10-14 00:00:00,Yes,2019-04-02 00:00:00,Yes,21,Dryer vented outside,Home Preservation
IS-00659,2019-04-23 16:53:56,service_app_7,2020-10-14 00:00:00,Yes,2019-04-02 00:00:00,Yes,22,Interior temperature OK,Health Risk
IS-00660,2019-04-23 16:56:38,service_app_7,2020-10-14 00:00:00,Yes,2019-04-02 00:00:00,Yes,23,Adequate lighting,Falls Prevention
IS-00661,2019-04-23 16:56:51,service_app_7,2020-10-14 00:00:00,Yes,2019-04-02 00:00:00,Yes,24,Interior paint intact,Home Preservation
IS-00662,2019-04-23 16:57:03,service_app_7,2020-10-14 00:00:00,Yes,2019-04-02 00:00:00,No,25,No water leaks,Air Quality
IS-00663,2019-04-24 18:40:17,service_app_5,2020-10-26 00:00:00,Yes,2019-03-29 00:00:00,No,1,Safe ingress/egress,Falls Prevention
IS-00664,2019-04-24 18:41:15,service_app_5,2020-10-26 00:00:00,Yes,2019-03-29 00:00:00,No,2,Roof watertight,Home Preservation
IS-00665,2019-04-24 18:41:46,service_app_5,2020-10-26 00:00:00,Yes,2019-03-29 00:00:00,No,3,Runoff diverted,Home Preservation
IS-00666,2019-04-24 18:43:11,service_app_5,2020-10-26 00:00:00,Yes,2019-03-29 00:00:00,Yes,4,No gaps/cracks/holes,Energy Efficiency
IS-00667,2019-04-24 18:43:36,service_app_5,2020-10-26 00:00:00,Yes,2019-03-29 00:00:00,No,5,Doors/windows secure,Energy Efficiency
IS-00669,2019-04-24 18:45:03,service_app_5,2020-10-26 00:00:00,Yes,2019-03-29 00:00:00,Yes,6,Pest free,Health Risk
IS-00670,2019-04-24 18:45:26,service_app_5,2020-10-26 00:00:00,Yes,2019-03-29 00:00:00,No,7,Numerals visible,Health Risk
IS-00671,2019-04-24 18:45:55,service_app_5,2020-10-26 00:00:00,Yes,2019-03-29 00:00:00,No,8,Smoke detectors OK,Fire Prevention
IS-00672,2019-04-24 18:46:18,service_app_5,2020-10-26 00:00:00,Yes,2019-03-29 00:00:00,Yes,9,CO detectors OK,Health Risk
IS-00673,2019-04-24 18:46:54,service_app_5,2020-10-26 00:00:00,Yes,2019-03-29 00:00:00,No,10,Fire extinguisher OK,Fire Prevention
IS-00675,2019-04-24 18:47:42,service_app_5,2020-10-26 00:00:00,Yes,2019-03-29 00:00:00,No,13,Appliances OK,Health Risk
IS-00678,2019-04-24 18:48:45,service_app_5,2020-10-26 00:00:00,Yes,2019-03-29 00:00:00,Yes,15,Sink/toilet/bath OK,Health Risk
IS-00674,2019-04-24 18:47:18,service_app_5,2020-10-26 00:00:00,Yes,2019-03-29 00:00:00,No,12,No electrical hazards,Fire Prevention
IS-00677,2019-04-24 18:48:27,service_app_5,2020-10-26 00:00:00,No,2019-03-29 00:00:00,No,14,Exhaust fans in K & B,Air Quality
IS-00680,2019-04-24 18:49:30,service_app_5,2020-10-26 00:00:00,Yes,2019-03-29 00:00:00,No,16,Mods in bath if needed,Falls Prevention
IS-00681,2019-04-24 18:50:19,service_app_5,2020-10-26 00:00:00,Yes,2019-03-29 00:00:00,No,17,Grab bars if needed,Falls Prevention
IS-00682,2019-04-24 18:50:37,service_app_5,2020-10-26 00:00:00,Yes,2019-03-29 00:00:00,No,18,Stair rails if needed,Falls Prevention
